ssc_percentage,hsc_percentage,degree_percentage,work_experience,emp_test_percentage,mba_percent,g_F,g_M,hs_Arts,hs_Commerce,hs_Science,ud_Comm&Mgmt,ud_Others,ud_Sci&Tech,sp_Mkt&Fin,sp_Mkt&HR,st_Not Placed,st_Placed
67.0,91.0,58.0,1,55.0,58.8,0,1,0,1,0,0,0,1,0,1,0,1
79.33,78.33,77.48,0,86.5,66.28,0,1,0,0,1,0,0,1,1,0,0,1
65.0,68.0,64.0,1,75.0,57.8,0,1,1,0,0,1,0,0,1,0,0,1
56.0,52.0,52.0,1,66.0,59.43,0,1,0,0,1,0,0,1,0,1,1,0
85.8,73.6,73.3,1,96.8,55.5,0,1,0,1,0,1,0,0,1,0,0,1
55.0,49.8,67.25,0,55.0,51.58,0,1,0,0,1,0,0,1,1,0,1,0
46.0,49.2,79.0,1,74.28,53.29,1,0,0,1,0,1,0,0,1,0,1,0
82.0,64.0,66.0,0,67.0,62.14,0,1,0,0,1,0,0,1,1,0,0,1
73.0,79.0,72.0,1,91.34,61.29,0,1,0,1,0,1,0,0,1,0,0,1
58.0,70.0,61.0,1,54.0,52.21,0,1,0,1,0,1,0,0,1,0,1,0
58.0,61.0,60.0,0,62.0,60.85,0,1,0,1,0,1,0,0,0,1,0,1
69.6,68.4,78.3,0,60.0,63.7,0,1,0,1,0,1,0,0,1,0,0,1
47.0,55.0,65.0,1,62.0,65.04,1,0,0,0,1,1,0,0,0,1,1,0
77.0,87.0,59.0,1,68.0,68.63,1,0,0,1,0,1,0,0,1,0,0,1
62.0,47.0,50.0,1,76.0,54.96,0,1,0,1,0,1,0,0,0,1,1,0
65.0,75.0,69.0,0,72.0,64.66,1,0,0,1,0,1,0,0,1,0,0,1
63.0,66.2,65.6,0,60.0,62.54,0,1,0,1,0,1,0,0,1,0,0,1
55.0,67.0,64.0,1,60.0,67.28,1,0,0,1,0,1,0,0,1,0,1,0
63.0,66.0,64.0,1,68.0,64.08,1,0,0,1,0,1,0,0,0,1,1,0
60.0,67.0,70.0,0,50.48,77.89,0,1,1,0,0,1,0,0,1,0,0,1
62.0,65.0,66.0,1,50.0,56.7,0,1,0,1,0,1,0,0,0,1,0,1
79.0,76.0,85.0,1,95.0,69.06,1,0,0,1,0,1,0,0,1,0,0,1
69.8,60.8,72.23,1,55.53,68.81,1,0,0,0,1,0,0,1,0,1,0,1
77.4,60.0,64.74,0,92.0,63.62,1,0,0,0,1,0,0,1,1,0,0,1
76.5,97.7,78.86,1,97.4,74.01,0,1,0,0,1,0,0,1,1,0,0,1
52.58,54.6,50.2,0,76.0,65.33,1,0,0,1,0,1,0,0,1,0,1,0
71.0,79.0,66.0,0,94.0,57.55,0,1,0,1,0,1,0,0,1,0,0,1
63.0,67.0,66.0,1,68.0,57.69,0,1,0,1,0,1,0,0,0,1,0,1
76.76,76.5,67.5,0,73.35,64.15,0,1,0,1,0,1,0,0,1,0,0,1
62.0,67.0,58.0,1,77.0,51.29,0,1,0,1,0,1,0,0,1,0,1,0
64.0,73.5,73.0,1,52.0,56.7,1,0,0,1,0,1,0,0,0,1,0,1
67.0,53.0,65.0,1,64.0,58.32,1,0,0,0,1,0,0,1,0,1,1,0
61.0,81.0,66.4,1,50.89,62.21,1,0,0,1,0,1,0,0,0,1,0,1
87.0,65.0,81.0,0,88.0,72.78,1,0,0,0,1,1,0,0,1,0,0,1
62.0,51.0,52.0,1,68.44,62.77,0,1,0,0,1,0,1,0,0,1,1,0
69.0,78.0,72.0,1,71.0,62.74,1,0,0,1,0,1,0,0,0,1,0,1
51.0,44.0,57.0,1,64.0,51.45,0,1,0,1,0,1,0,0,1,0,1,0
79.0,76.0,65.6,1,58.0,55.47,1,0,0,0,1,0,0,1,0,1,0,1
73.0,58.0,66.0,1,53.7,56.86,1,0,0,0,1,1,0,0,0,1,0,1
